"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"203","TUR","Asia","Turkey",2021-04-22,4501382,54791,59203.571,37329,354,328.286,53372.442,649.651,701.971,442.606,4.197,3.892,1.09,NA,NA,NA,NA,NA,NA,NA,NA,312109,45040704,534.043,3.701,316083,3.748,0.19,5.3,"tests performed",20728975,12796678,7932297,251290,183387,24.58,15.17,9.41,2174,83.33,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82
"204","UGA","Africa","Uganda",2021-04-22,41529,54,38,341,0,0.429,907.916,1.181,0.831,7.455,0,0.009,1.12,NA,NA,NA,NA,NA,NA,NA,NA,2651,998791,21.836,0.058,3123,0.068,0.01,100.3,"samples tested",253562,253562,NA,7623,6693,0.55,0.55,NA,146,52.78,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
"205","UKR","Europe","Ukraine",2021-04-22,2043901,16357,12492.429,43041,476,378.857,46735.086,374.013,285.647,984.16,10.884,8.663,0.9,NA,NA,NA,NA,NA,NA,NA,NA,46516,9089301,207.833,1.064,38172,0.873,0.322,3.1,"tests performed",508049,508044,5,16169,10747,1.16,1.16,0,246,69.44,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779
"206","ARE","Asia","United Arab Emirates",2021-04-22,504872,2081,1921.286,1565,4,2.857,51046.672,210.406,194.258,158.234,0.404,0.289,0.97,NA,NA,NA,NA,NA,NA,NA,NA,256181,40925902,4137.942,25.902,234042,23.664,0.008,121.6,"tests performed",10001241,5081853,3836521,101239,87700,101.12,51.38,38.79,8867,53.7,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89
"207","GBR","Europe","United Kingdom",2021-04-22,4413834,2766,2534,127597,20,22.714,65018.321,40.745,37.327,1879.577,0.295,0.335,0.96,300,4.419,2004,29.52,NA,NA,577,8.5,1371393,143949153,2120.454,20.201,1083648,15.963,0.002,427.6,"tests performed",44450252,33257651,11192601,534693,498850,65.48,48.99,16.49,7348,66.2,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932
"208","USA","North America","United States",2021-04-22,31929351,67257,61957.429,570345,943,705.714,96462.525,203.192,187.181,1723.083,2.849,2.132,0.96,9472,28.616,39090,118.096,NA,NA,35055,105.905,461175,404496912,1222.035,1.393,941823,2.845,0.068,14.7,"tests performed",218947643,135791031,89245776,2995734,2947229,65.47,40.6,26.68,8812,56.94,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926
"209","URY","South America","Uruguay",2021-04-22,175891,3290,2770.286,2160,77,62,50634.664,947.11,797.497,621.811,22.166,17.848,0.99,NA,NA,NA,NA,NA,NA,NA,NA,17646,1675577,482.357,5.08,14314,4.121,0.205,4.9,"tests performed",1529024,1100940,428084,50546,39891,44.02,31.69,12.32,11484,72.22,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.817
"210","UZB","Asia","Uzbekistan",2021-04-22,87935,384,315,640,0,0.857,2627.341,11.473,9.412,19.122,0,0.026,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458555,458555,NA,78652,33957,1.37,1.37,NA,1015,37.04,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.72
"211","VUT","Oceania","Vanuatu",2021-04-22,4,0,0.143,1,0,0.143,13.023,0,0.465,3.256,0,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,NA,70.47,0.609
"212","VAT","Europe","Vatican",2021-04-22,27,0,0,NA,NA,0,33374.536,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA
"213","VEN","South America","Venezuela",2021-04-22,188063,1318,1242.571,1987,22,19.143,6613.566,46.35,43.697,69.876,0.774,0.673,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,250000,NA,NA,15200,0.88,0.88,NA,535,87.96,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.711
"214","VNM","Asia","Vietnam",2021-04-22,2824,12,9.429,35,0,0,29.012,0.123,0.097,0.36,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128610,128610,NA,19713,9265,0.13,0.13,NA,95,56.94,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
"215","OWID_WRL",NA,"World",2021-04-22,144742651,899831,809435,3071857,13712,12274.857,18569.133,115.44,103.843,394.091,1.759,1.575,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973378158,533975875,223329095,19944800,15624205,12.49,6.85,2.87,2004,NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
"216","YEM","Asia","Yemen",2021-04-22,6020,60,51.857,1157,10,8.571,201.838,2.012,1.739,38.792,0.335,0.287,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
"217","ZMB","Africa","Zambia",2021-04-22,91189,70,93.857,1240,2,1.429,4960.249,3.808,5.105,67.45,0.109,0.078,0.82,NA,NA,NA,NA,NA,NA,NA,NA,4800,1365448,74.274,0.261,5466,0.297,0.019,53.6,"tests performed",3391,3391,NA,1277,565,0.02,0.02,NA,31,39.81,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
"218","ZWE","Africa","Zimbabwe",2021-04-22,38018,38,85.143,1555,0,0.714,2557.908,2.557,5.729,104.623,0,0.048,1.47,NA,NA,NA,NA,NA,NA,NA,NA,1945,478757,32.211,0.131,1953,0.131,0.042,23.6,"tests performed",351799,308071,43728,18803,9417,2.37,2.07,0.29,634,57.41,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
