"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"68","FRO","Europe","Faeroe Islands",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15531,10282,5249,697,175,31.78,21.04,10.74,3581,48.15,48865,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.67,NA
"69","FLK","South America","Falkland Islands",2021-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4407,2632,1775,NA,12,126.53,75.57,50.96,3445,NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA
"70","FJI","Oceania","Fiji",2021-04-22,86,8,2.571,2,0,0,95.935,8.924,2.868,2.231,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,42492,47.401,0.392,237,0.264,0,1594.4,"tests performed",56000,56000,NA,28295,4861,6.25,6.25,NA,5423,53.7,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.743
"71","FIN","Europe","Finland",2021-04-22,85077,280,260.571,902,3,2.429,15354.869,50.535,47.028,162.795,0.541,0.438,0.81,34,6.136,161,29.058,NA,NA,NA,NA,16346,4337679,782.873,2.95,15198,2.743,0.018,54.9,"tests performed",1570979,1430756,140223,99443,36288,28.35,25.82,2.53,6549,46.76,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938
"72","FRA","Europe","France",2021-04-22,5469674,33445,31545.857,102323,277,298.714,80262.064,490.772,462.904,1501.489,4.065,4.383,1.06,5893,86.474,30789,451.798,2989.297,43.865,12934.049,189.794,426689,NA,NA,6.261,331316,4.862,0.099,10.1,"people tested",18284330,13265147,5019183,415642,358315,26.83,19.47,7.37,5258,78.7,68147687,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901
"73","GAB","Africa","Gabon",2021-04-22,22228,0,94.571,136,0,0.571,9986.845,0,42.49,61.104,0,0.257,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5762,5362,400,NA,262,0.26,0.24,0.02,118,71.3,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.703
"74","GMB","Africa","Gambia",2021-04-22,5820,32,18,173,2,0.429,2408.279,13.241,7.448,71.586,0.828,0.177,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16735,16735,NA,NA,1045,0.69,0.69,NA,432,38.89,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
"75","GEO","Asia","Georgia",2021-04-22,300264,1226,1145.714,3981,10,10.429,75269.699,307.332,287.206,997.951,2.507,2.614,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33337,33337,NA,1426,1203,0.84,0.84,NA,302,64.81,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.812
"76","DEU","Europe","Germany",2021-04-22,3254609,31721,20622.429,81203,265,218.714,38845.258,378.605,246.138,969.195,3.163,2.61,1.17,4818,57.505,NA,NA,NA,NA,2367.441,28.256,NA,53992148,644.421,NA,185091,2.209,0.124,8.1,"tests performed",24286909,18496378,5790531,606283,492867,28.99,22.08,6.91,5883,75,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947
"77","GHA","Africa","Ghana",2021-04-22,91928,145,54.714,777,5,1.571,2958.458,4.666,1.761,25.006,0.161,0.051,0.79,NA,NA,NA,NA,NA,NA,NA,NA,2694,1055797,33.978,0.087,2729,0.088,0.024,42.5,"samples tested",842521,842521,NA,38597,13675,2.71,2.71,NA,440,47.22,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
